                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4296,                 2.7909,                 3.4452,                0.29651,                0.24596,                0.18962,                0.07054,                 2.5594,                 2.0765,                 2.5449,              0.0033307,              0.0033307,              0.0033307
                      2,                 2.2297,                 1.8228,                  2.177,                0.55406,                0.38114,                0.41992,                0.19355,                 1.9341,                 1.5613,                 1.9096,              0.0066452,              0.0066452,              0.0066452
                      3,                 1.9082,                  1.527,                 1.8509,                0.67108,                0.43486,                0.51488,                0.25908,                 1.7318,                 1.3066,                 1.7168,              0.0099408,              0.0099408,              0.0099408
                      4,                 1.7535,                 1.3461,                 1.7016,                0.70451,                0.47204,                0.55966,                0.29695,                 1.6066,                 1.1927,                 1.5953,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.6482,                 1.2317,                 1.6142,                0.73133,                0.50078,                0.59373,                0.32069,                 1.5494,                 1.0962,                 1.5331,              0.0099151,              0.0099151,              0.0099151
                      6,                 1.5909,                  1.166,                 1.5627,                0.75238,                0.51992,                0.61672,                0.33852,                 1.5092,                 1.0303,                 1.5082,              0.0098869,              0.0098869,              0.0098869
                      7,                 1.5603,                 1.1303,                  1.532,                0.75751,                0.53071,                0.62563,                0.34672,                 1.4818,                 1.0092,                 1.4679,              0.0098586,              0.0098586,              0.0098586
                      8,                 1.5325,                 1.1019,                 1.5001,                0.76618,                0.53427,                0.63554,                0.35811,                 1.4621,                0.99086,                 1.4375,              0.0098303,              0.0098303,              0.0098303
                      9,                 1.5162,                 1.0811,                 1.4756,                0.77421,                0.54484,                0.64743,                0.36638,                 1.4483,                 0.9651,                 1.4298,               0.009802,               0.009802,               0.009802
                     10,                 1.4947,                 1.0671,                 1.4582,                0.77606,                0.55152,                0.65199,                0.37035,                 1.4265,                0.95671,                 1.4099,              0.0097737,              0.0097737,              0.0097737
                     11,                 1.4796,                 1.0456,                 1.4365,                0.78268,                0.56075,                0.66145,                0.37893,                 1.4096,                0.93524,                 1.3948,              0.0097454,              0.0097454,              0.0097454
                     12,                 1.4627,                 1.0361,                  1.431,                0.78929,                0.55869,                0.66373,                0.38246,                 1.3994,                0.92364,                 1.3865,              0.0097171,              0.0097171,              0.0097171
